date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:08:57	46197/46197	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Apr%202022%2018:08:56%20GMT	https://www.pulse.vn/Trident/	/home/yuu/websites/unihack/www.pulse.vn/Trident/index.html	(from https://www.pulse.vn/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/n2.min.js?ver=70fceec4)
01:08:58	46197/-1	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Apr%202022%2018:08:57%20GMT	https://www.pulse.vn/sponsorship	/home/yuu/websites/unihack/www.pulse.vn/sponsorship.html	(from https://www.pulse.vn/)
01:08:59	66431/-1	---M--	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202022%2018:08:58%20GMT	https://www.pulse.vn/salonpas-japanese-pharmaceutical-brand-becomes-title-sponsor-of-hcmc-marathon-for-the-next-3-years-2021-2023-2/	/home/yuu/websites/unihack/www.pulse.vn/salonpas-japanese-pharmaceutical-brand-becomes-title-sponsor-of-hcmc-marathon-for-the-next-3-years-2021-2023-2/index.html	(from https://www.pulse.vn/)
01:09:00	61734/-1	---M--	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202022%2018:08:59%20GMT	https://www.pulse.vn/ippgroup-challenge-vietnam-won-the-best-overall-race-long-course-by-asiatri/	/home/yuu/websites/unihack/www.pulse.vn/ippgroup-challenge-vietnam-won-the-best-overall-race-long-course-by-asiatri/index.html	(from https://www.pulse.vn/)
01:09:00	6682/6682	---M--	200	added ('OK')	image/png	etag:%221a1a-57621fb706a00%22	https://www.pulse.vn/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/default/sprite.png	/home/yuu/websites/unihack/www.pulse.vn/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/default/sprite.png	(from https://www.pulse.vn/wp-content/plugins/js_composer/assets/lib/prettyphoto/css/prettyPhoto.min.css?ver=5.4.7)
01:09:01	1097/1097	---M--	200	added ('OK')	image/png	etag:%22449-57621fb706a00%22	https://www.pulse.vn/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/default/sprite_x.png	/home/yuu/websites/unihack/www.pulse.vn/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/default/sprite_x.png	(from https://www.pulse.vn/wp-content/plugins/js_composer/assets/lib/prettyphoto/css/prettyPhoto.min.css?ver=5.4.7)
01:09:02	1162/1162	---M--	200	added ('OK')	image/png	etag:%2248a-57621fb706a00%22	https://www.pulse.vn/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/default/sprite_y.png	/home/yuu/websites/unihack/www.pulse.vn/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/default/sprite_y.png	(from https://www.pulse.vn/wp-content/plugins/js_composer/assets/lib/prettyphoto/css/prettyPhoto.min.css?ver=5.4.7)
01:09:03	1358/1358	---M--	200	added ('OK')	image/png	etag:%2254e-57621fb706a00%22	https://www.pulse.vn/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/default/sprite_next.png	/home/yuu/websites/unihack/www.pulse.vn/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/default/sprite_next.png	(from https://www.pulse.vn/wp-content/plugins/js_composer/assets/lib/prettyphoto/css/prettyPhoto.min.css?ver=5.4.7)
01:09:04	1376/1376	---M--	200	added ('OK')	image/png	etag:%22560-57621fb706a00%22	https://www.pulse.vn/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/default/sprite_prev.png	/home/yuu/websites/unihack/www.pulse.vn/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/default/sprite_prev.png	(from https://www.pulse.vn/wp-content/plugins/js_composer/assets/lib/prettyphoto/css/prettyPhoto.min.css?ver=5.4.7)
01:09:05	1537/1537	---M--	200	added ('OK')	image/png	etag:%22601-57621fb706a00%22	https://www.pulse.vn/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/default/default_thumb.png	/home/yuu/websites/unihack/www.pulse.vn/wp-content/plugins/js_composer/assets/lib/prettyphoto/images/prettyPhoto/default/default_thumb.png	(from https://www.pulse.vn/wp-content/plugins/js_composer/assets/lib/prettyphoto/css/prettyPhoto.min.css?ver=5.4.7)
